displacement,force
0,0.04573123
-0.00162,0.04573123
-0.00162,0.04573123
0,0.0533531
-0.00162,0.0533531
0.00162,0.04573123
0.00162,0.04573123
-0.00162,0.04573123
0.00162,0.03810936
0,0.0533531
0.00162,0.0533531
0,0.04573123
-0.00162,0.04573123
-0.00162,0.0533531
0,0.03810936
-0.00162,0.0533531
0.00162,0.04573123
0.00162,0.0533531
0,0.0533531
-0.00325,0.04573123
0,0.04573123
0.00162,0.0533531
0,0.03810936
0.00162,0.0533531
-0.00162,0.0533531
-0.00162,0.0533531
0.00162,0.04573123
0.00162,0.0533531
-0.00162,0.04573123
0.00325,0.04573123
-0.00162,0.04573123
0,0.0533531
0,0.04573123
0,0.04573123
0.00162,0.0533531
0,0.04573123
0,0.04573123
0,0.04573123
-0.00325,0.04573123
-0.00162,0.04573123
0.00162,0.0533531
0,0.04573123
-0.00162,0.03810936
0.00162,0.0533531
0.00162,0.0533531
0,0.0533531
0.00162,0.04573123
0,0.04573123
-0.00162,0.04573123
0.00162,0.03810936
0,0.03810936
0,0.04573123
0.00162,0.0533531
-0.00325,0.04573123
-0.00162,0.04573123
0,0.04573123
0,0.0533531
0,0.04573123
-0.00325,0.04573123
-0.00162,0.04573123
0.00162,0.03810936
0,0.0533531
-0.00162,0.04573123
0.00162,0.04573123
0.00162,0.04573123
-0.00162,0.04573123
-0.00162,0.0533531
0,0.03810936
-0.00162,0.04573123
-0.00162,0.04573123
0.00325,0.0533531
-0.00162,0.0533531
-0.00162,0.03810936
-0.00162,0.04573123
0.00162,0.03810936
0.00162,0.03048749
-0.00162,0.03810936
0,0.04573123
0,0.03810936
0.00162,0.04573123
0,0.03048749
0,0.04573123
0,0.03810936
0.00162,0.04573123
0,0.04573123
0,0.03810936
0,0.03810936
0,0.03048749
0,0.04573123
0,0.03810936
0.00162,0.04573123
0,0.04573123
0,0.04573123
-0.00162,0.04573123
0.00162,0.03810936
0,0.0533531
0,0.03810936
-0.00162,0.03048749
0.00325,0.04573123
-0.00162,0.04573123
-0.00162,0.03048749
0,0.04573123
0.00162,0.04573123
0.00162,0.04573123
0,0.04573123
0,0.03810936
-0.00162,0.03810936
0,0.0533531
-0.00162,0.0533531
-0.00162,0.04573123
0,0.04573123
-0.00162,0.03810936
0,0.04573123
0,0.04573123
-0.00325,0.04573123
0.00162,0.04573123
-0.00162,0.04573123
0.00162,0.04573123
0.00325,0.04573123
0,0.03810936
-0.00162,0.04573123
-0.00325,0.04573123
0.00162,0.04573123
0,0.0533531
0,0.04573123
0,0.04573123
-0.00162,0.06097497
-0.00162,0.04573123
0,0.03810936
0,0.0533531
0,0.04573123
-0.00325,0.03810936
0.00162,0.03048749
0,0.03810936
0.00162,0.04573123
0,0.06097497
-0.00162,0.04573123
0,0.04573123
0,0.04573123
0,0.04573123
0.00325,0.0533531
-0.00325,0.0533531
0.00325,0.06097497
-0.00162,0.0533531
0,0.04573123
0,0.0533531
-0.00162,0.03810936
-0.00162,0.04573123
-0.00162,0.0533531
-0.00162,0.06097497
-0.00162,0.0533531
-0.00162,0.04573123
-0.00162,0.03810936
0,0.04573123
0,0.03810936
0,0.0533531
-0.00162,0.03810936
0,0.04573123
0,0.03810936
-0.00162,0.04573123
0,0.04573123
0.00162,0.03810936
-0.00162,0.04573123
0,0.04573123
0,0.04573123
0,0.03810936
-0.00162,0.04573123
-0.00162,0.04573123
0,0.04573123
-0.00162,0.04573123
0,0.04573123
-0.00162,0.03810936
-0.00162,0.04573123
-0.00162,0.04573123
0.00162,0.04573123
0.00162,0.04573123
-0.00162,0.04573123
0,0.04573123
0,0.04573123
-0.00325,0.0533531
0,0.04573123
-0.00162,0.04573123
0,0.0533531
-0.00162,0.04573123
0,0.03810936
0.00162,0.03810936
-0.00162,0.04573123
-0.00162,0.03810936
0,0.04573123
0.00162,0.04573123
-0.00162,0.0533531
-0.00162,0.03810936
0,0.0533531
0,0.04573123
-0.00162,0.04573123
-0.00162,0.0533531
0.00325,0.03810936
0,0.04573123
0,0.04573123
-0.00162,0.03810936
0.00162,0.0533531
-0.00162,0.0533531
0,0.04573123
-0.00325,0.04573123
-0.00162,0.03810936
0.00162,0.04573123
0,0.03810936
0,0.03810936
0,0.0533531
-0.00162,0.04573123
-0.00325,0.04573123
0.00162,0.03810936
-0.00162,0.04573123
0,0.03048749
-0.00162,0.03048749
0,0.04573123
0,0.0533531
0.00162,0.04573123
-0.00325,0.03048749
-0.00162,0.0533531
0.00162,0.04573123
0,0.04573123
0.00162,0.03810936
0,0.03810936
0,0.04573123
0.00162,0.04573123
0,0.03810936
0,0.04573123
0,0.04573123
0,0.04573123
0,0.04573123
0.00162,0.03810936
0.00325,0.03810936
-0.00162,0.04573123
0,0.04573123
-0.00162,0.04573123
0,0.03048749
0,0.04573123
0,0.03810936
0,0.03048749
-0.00162,0.03810936
0,0.03048749
0.00162,0.04573123
0.00162,0.03810936
0.00162,0.03810936
-0.00325,0.03810936
0,0.04573123
-0.00162,0.03810936
-0.00162,0.03810936
0,0.03048749
0,0.03810936
-0.00162,0.03048749
-0.00162,0.03048749
0,0.03048749
0,0.03048749
0,0.03810936
0.00162,0.03810936
0,0.04573123
0,0.02286561
0.00162,0.03048749
0,0.04573123
-0.00162,0.03048749
0.00162,0.03810936
-0.00325,0.0533531
0,0.03048749
-0.00162,0.03810936
-0.00325,0.03810936
0.00162,0.03048749
0,0.03048749
0,0.03810936
-0.00162,0.04573123
-0.00162,0.02286561
-0.00162,0.03810936
0.00162,0.03810936
0.00162,0.03048749
0,0.02286561
0.00162,0.04573123
0.00162,0.04573123
0.00162,0.03048749
0.00162,0.03810936
-0.00162,0.03048749
0,0.03048749
-0.00162,0.03048749
0,0.03810936
0,0.03048749
-0.00325,0.03048749
0,0.03810936
0,0.03048749
0.00162,0.03048749
0,0.03048749
0,0.03048749
-0.00162,0.02286561
0,0.01524374
0,0.02286561
-0.00162,0.01524374
0.00162,0.02286561
0.00162,0.02286561
0.00162,0.01524374
0.00162,0.00762187
0,0.00762187
-0.00162,0.03048749
0,0.00762187
0,0.00762187
0,0.01524374
0.00162,0.02286561
0,0.00762187
0,0.03048749
0,0.02286561
0,0.01524374
-0.00162,0.02286561
-0.00162,0.01524374
0,0.02286561
0.00162,0.02286561
0,0.02286561
0,0.01524374
0,0.01524374
0,0.03048749
-0.00162,0.02286561
0.00162,0.03048749
-0.00162,0.02286561
0.00325,0.01524374
-0.00162,0.01524374
0.00162,0.01524374
-0.00162,0.00762187
-0.00162,0.01524374
0,0.02286561
-0.00162,0.01524374
-0.00162,0.02286561
-0.00162,0.00762187
0,0.02286561
0,0.01524374
-0.00162,0.00762187
0.00162,0
-0.00162,0
0,-0.00762187
-0.00162,-0.01524374
0,-0.03048749
0,-0.02286561
-0.00325,-0.03810936
0,-0.03810936
0,-0.03810936
-0.00162,-0.04573123
-0.00162,-0.03810936
-0.00325,-0.0533531
0,-0.0533531
0,-0.06097497
-0.00162,-0.06859684
0,-0.06859684
-0.00325,-0.06097497
-0.00162,-0.07621872
0.00162,-0.07621872
-0.00162,-0.07621872
-0.00162,-0.09146246
-0.00325,-0.07621872
0,-0.08384059
-0.00325,-0.09146246
0.00162,-0.09908433
-0.00162,-0.09908433
-0.00162,-0.12194995
-0.00162,-0.12194995
-0.00162,-0.12957182
-0.00162,-0.13719369
0,-0.14481556
-0.00162,-0.1600593
-0.00162,-0.1600593
0,-0.18292492
-0.00162,-0.17530305
0,-0.19816866
0,-0.2134124
0,-0.2134124
0,-0.22865615
-0.00325,-0.22865615
